,城市,城市平均房价
0,0,45123.386666666665
1,1,24027.973
2,2,26557.897666666668
3,3,32588.377666666667
4,4,57627.07466666667
5,5,37774.97266666667
6,6,46921.13371123708
7,7,20683.702937249665
8,8,45542.033711730306
9,9,24173.735724398302
